C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,870,250,2000,319.9333333333333,1203,1208,130.0,80.16,784.49,778,80.0,630,400,545,28.0,105.66666666666667
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,876,250,2000,301.6166666666667,1222,1199,130.02,80.29,786.24,778,80.0,630,375,530,27.0,126.66666666666667
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,809,220,1800,310.75,1195,1206,85.01,34.1,789.78,769,34.0,630,420,545,32.5,209.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,805,180,1400,498.8,1217,1188,40.03,16.54,816.72,756,16.0,640,375,520,25.5,119.66666666666667
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,826,220,1800,285.3333333333333,1212,1162,50.0,20.73,797.01,760,20.0,640,395,540,25.5,151.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,810,220,1800,287.6833333333333,1206,1148,50.0,20.61,793.25,761,20.0,640,405,530,27.0,181.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,797,220,1800,268.9666666666666,1213,1189,50.0,20.64,778.91,759,20.0,640,425,550,24.5,165.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,793,220,1800,290.7,1213,1203,50.0,20.21,792.83,758,20.0,640,420,550,26.0,155.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,799,220,1800,292.3333333333333,1224,1234,50.0,20.29,777.11,760,20.0,640,415,545,22.5,220.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,789,220,1800,285.6166666666667,1218,1224,50.04,20.45,776.88,761,20.0,640,430,550,25.5,131.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,779,220,1800,284.4833333333333,1228,1227,50.04,20.42,767.76,761,20.0,640,420,535,27.5,189.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,817,220,1800,288.6,1231,1219,50.0,20.12,789.69,760,20.0,640,410,535,26.0,166.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,810,180,1400,287.5833333333333,1217,1204,50.0,20.11,803.12,762,20.0,640,385,525,29.0,153.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,796,220,1800,315.4666666666666,1230,1226,50.0,20.52,777.97,761,20.0,640,385,530,31.0,184.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,807,220,1800,314.4333333333333,1229,1224,50.0,20.33,793.84,759,20.0,640,400,540,28.5,166.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,799,220,1800,311.2166666666666,1218,1211,50.0,20.2,791.64,773,20.0,640,405,540,28.0,135.33333333333334
