C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,845,150,1800,285.3833333333333,1222,1189,30.0,10.11,859.15,747,10.0,647,389,529,28.0,117.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,853,150,1800,297.8666666666667,1216,1182,36.0,12.19,855.8,746,12.0,643,378,527,31.0,158.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,835,150,1800,302.05,1214,1182,36.0,12.08,844.84,742,12.0,671,373,510,28.0,196.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,890,220,1600,303.55,1205,1188,30.0,10.0,896.04,770,10.0,637,385,539,26.0,104.66666666666667
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,785,250,2000,295.6333333333333,1228,1206,40.0,16.22,795.45,740,16.0,617,395,542,25.0,185.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,801,250,2000,294.55,1209,1191,40.0,16.28,805.74,727,16.0,616,381,542,27.0,168.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,818,250,2000,298.3833333333333,1232,1210,40.0,16.03,823.67,748,16.0,612,396,552,27.0,167.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,805,250,2000,297.35,1209,1195,40.0,16.15,810.44,742,16.0,616,397,550,25.5,173.0
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,810,150,1800,305.65,1235,1196,40.0,16.29,799.36,742,16.0,620,428,553,31.5,133.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,811,220,1600,332.2666666666667,1198,1174,36.0,12.1,828.72,745,12.0,642,398,543,32.0,204.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,789,220,1800,297.0333333333334,1225,1200,87.5,35.3,777.45,732,35.0,592,403,561,23.0,203.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,804,250,1800,898.3,1191,1173,110.01,60.01,772.81,756,60.0,623,393,541,29.5,143.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,823,250,2000,903.85,1214,1193,130.0,65.1,793.77,773,65.0,605,405,552,27.5,135.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,813,220,1800,298.7333333333333,1187,1168,115.01,63.0,783.77,756,63.0,615,399,541,28.0,144.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,832,220,1800,294.1,1205,1181,75.0,30.07,807.55,767,30.0,578,423,568,27.5,152.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,870,300,2400,276.5,1193,1172,150.01,75.15,816.43,797,75.0,639,381,533,28.0,195.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,868,300,2400,276.0333333333334,1195,1161,150.13,85.17,812.15,786,85.0,603,361,522,29.0,223.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,851,220,1800,311.0,1215,1187,100.0,50.25,797.61,794,50.0,668,403,565,25.0,149.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,841,300,2000,363.25,1219,1201,80.0,40.02,815.05,791,40.0,628,372,547,30.5,248.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,844,220,1800,263.1166666666667,1203,1182,100.0,50.17,822.56,791,50.0,635,395,552,29.0,197.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,813,250,2000,276.6166666666667,1184,1167,140.0,70.78,782.06,761,70.0,618,375,528,31.0,241.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,813,250,2000,281.85,1213,1192,130.0,65.1,786.41,765,65.0,589,370,541,30.5,240.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,789,220,1800,277.4,1188,1170,100.0,45.21,777.2,758,45.0,630,378,551,32.5,182.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,873,250,2000,207.5833333333333,1234,1212,150.0,80.29,790.16,794,80.0,592,394,546,27.0,178.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,860,250,1800,261.2166666666666,1226,1204,42.0,14.16,864.44,767,14.0,642,399,557,30.5,149.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,861,220,1800,258.1,1203,1183,42.0,14.34,849.9,761,14.0,642,368,520,30.5,138.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,814,250,2000,290.9,1207,1185,40.0,0.0,805.47,742,16.0,623,397,541,28.5,168.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,812,250,2000,279.4666666666666,1204,1182,60.0,0.0,804.13,755,24.0,616,393,533,23.0,158.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,859,300,2000,329.3166666666667,1208,1190,150.0,80.39,791.95,786,80.0,665,389,551,27.0,237.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,869,220,1800,317.3,1215,1195,130.04,80.07,822.36,810,80.0,617,375,551,30.0,182.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,856,220,1800,313.25,1223,1199,50.01,20.35,824.75,753,20.0,623,393,539,27.0,115.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,831,250,2000,394.7,1201,1182,50.0,20.0,809.38,763,20.0,646,380,525,32.0,147.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,781,250,1800,355.5666666666667,1213,1196,50.01,20.03,766.78,744,20.0,614,399,534,29.0,149.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,819,250,1800,355.2333333333333,1228,1207,50.01,20.09,804.33,745,20.0,623,387,532,30.0,127.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,825,250,2000,357.9166666666667,1197,1180,80.0,40.04,782.56,775,40.0,649,385,544,31.0,159.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,806,150,1800,364.8,1202,1173,36.0,12.02,811.86,737,12.0,613,373,529,21.5,119.66666666666667
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,816,300,2000,367.1166666666667,1205,1182,40.0,16.0,806.31,743,16.0,629,388,531,30.5,128.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,880,250,1800,276.0333333333334,1198,1178,150.0,80.03,819.86,776,80.0,650,395,564,21.0,113.33333333333333
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,818,250,1800,268.1,1201,1183,80.0,40.02,768.66,756,40.0,648,408,551,30.5,240.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,872,220,1800,270.8333333333333,1184,1167,140.01,70.34,827.41,802,70.0,626,381,524,29.0,136.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,868,220,1800,272.4166666666667,1201,1178,130.01,70.37,803.78,785,70.0,684,378,537,21.0,173.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,840,250,1800,750.5833333333334,1221,1199,100.0,50.14,817.02,799,50.0,635,409,554,28.5,233.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,853,250,1800,740.1666666666666,1206,1173,100.0,50.35,800.3,799,50.0,665,419,560,30.5,247.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,852,250,1800,740.65,1208,1173,100.01,50.31,799.86,800,50.0,662,416,565,29.0,234.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,835,250,1800,711.05,1176,1160,100.01,0.0,800.73,787,50.0,643,394,543,28.0,241.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,807,250,1800,258.5833333333333,1199,1177,62.5,25.17,790.96,753,25.0,626,394,561,22.5,138.33333333333334
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,822,250,1800,247.0833333333333,1226,1204,62.5,26.26,819.38,771,25.0,632,403,538,25.0,193.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,850,250,2000,301.55,1199,1159,120.0,60.39,796.97,795,60.0,629,405,563,27.0,115.33333333333333
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,863,300,2400,382.4333333333333,1227,1203,150.0,85.12,799.77,792,85.0,621,390,545,29.0,196.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,847,250,1800,216.6833333333333,1200,1183,99.99,40.06,794.15,793,40.0,663,406,554,33.5,244.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,843,250,1800,217.3333333333333,1198,1183,100.0,40.12,799.07,781,40.0,661,399,552,30.0,228.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,834,250,1800,207.4166666666667,1202,1184,100.01,50.05,779.7,764,50.0,616,382,533,30.5,232.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,835,150,1400,374.7,1181,1153,80.0,55.17,785.73,762,55.0,580,403,554,23.0,103.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,857,250,2000,385.2666666666667,1195,1165,75.0,30.01,819.91,764,30.0,641,396,541,28.0,125.0
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,823,150,1400,409.0333333333334,1233,1196,62.5,25.0,809.44,768,25.0,580,424,560,21.5,128.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,816,250,2000,411.4833333333333,1193,1176,45.02,15.04,836.29,748,15.0,650,375,534,31.5,124.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,796,220,1800,324.3166666666667,1225,1192,50.0,20.0,785.9,746,20.0,621,404,551,25.5,128.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,795,250,2000,323.7666666666667,1227,1204,40.0,16.15,793.4,747,16.0,652,420,555,25.5,152.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,815,220,1800,268.6333333333333,1224,1188,80.0,40.19,759.86,768,40.0,641,397,553,29.0,210.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,828,220,1800,271.3833333333333,1196,1178,80.0,40.19,799.85,788,40.0,643,402,535,26.0,164.0
